record_num,id,precursor,title,authors,year,journal,doi
4,41540253,both,The differential impact of three different NAD(+) boosters on circulatory NAD and  microbial metabolism in humans.,Christen S; Redeuil K; Goulet L...,2026,Nature metabolism,10.1038/s42255-025-01421-8
7,41162813,NMN,"Association between blood nicotinamide adenine dinucleotide levels and blood  laboratory parameters at baseline and after nicotinamide mononucleotide supplementation in middle-aged healthy individuals: post hoc analysis of a randomized, double-blinded, placebo-controlled clinical trial.",Kuerec AH; Wang W; Fokke KDM...,2025,GeroScience,10.1007/s11357-025-01968-0
8,40943905,NR,Next-Gen Neuroprotection in Glaucoma: Synergistic Molecules for Targeted Therapy.,Martucci A; Cesareo M; Pinazo-Duran MD...,2025,Journal of clinical medicine,10.3390/jcm14176145
9,40770531,NR,Nicotinamide riboside combined with exercise to treat hypertension in middle-aged  and older adults: a pilot randomized clinical trial.,Lin Y; Zeidan RS; Lapierre-Nguyen S...,2025,GeroScience,10.1007/s11357-025-01815-2
14,39847432,NR,A Pilot Trial of Nicotinamide Riboside and Coenzyme Q10 on Inflammation and  Oxidative Stress in CKD.,Ahmadi A; Valencia AP; Begue G...,2025,Clinical journal of the American Society of Nephrology : CJASN,10.2215/CJN.0000000624
15,39817194,NR,Cognitive and Alzheimer's disease biomarker effects of oral nicotinamide riboside  (NR) supplementation in older adults with subjective cognitive decline and mild cognitive impairment.,Wu CY; Kupferschmid AC; Chen L...,2025,"Alzheimer's & dementia (New York, N. Y.)",10.1002/trc2.70023
16,39816194,NR,"Multi-omics characterization of improved cognitive functions in Parkinson's  disease patients after the combined metabolic activator treatment: a randomized, double-blinded, placebo-controlled phase II trial.",Yulug B; Altay O; Li X...,2025,Brain communications,10.1093/braincomms/fcae478
18,39548320,NR,"Effect of nicotinamide riboside on airway inflammation in COPD: a randomized,  placebo-controlled trial.",Norheim KL; Ben Ezra M; Heckenbach I...,2024,Nature aging,10.1038/s43587-024-00758-1
20,39387327,NR,Feasibility of telehealth exercise and nicotinamide riboside supplementation in  survivors of childhood cancer at risk for diabetes: A pilot randomized controlled trial.,Bhandari R; Lukas K; Lee K...,2025,Pediatric blood & cancer,10.1002/pbc.31369
21,39228730,NR,Randomized Crossover Clinical Trial of Nicotinamide Riboside and Coenzyme Q10 on  Metabolic Health and Mitochondrial Bioenergetics in CKD.,Ahmadi A; Valencia AP; Begue G...,2024,medRxiv : the preprint server for health sciences,10.1101/2024.08.23.24312501
27,38789831,NMN,"Ingestion of beta-nicotinamide mononucleotide increased blood NAD levels, maintained  walking speed, and improved sleep quality in older adults in a double-blind randomized, placebo-controlled study.",Morifuji M; Higashi S; Ebihara S...,2024,GeroScience,10.1007/s11357-024-01204-1
28,38430946,NMN,Towards personalized nicotinamide mononucleotide (NMN) supplementation:  Nicotinamide adenine dinucleotide (NAD) concentration.,Kuerec AH; Wang W; Yi L...,2024,Mechanisms of ageing and development,10.1016/j.mad.2024.111917
30,38016950,NR,"NR-SAFE: a randomized, double-blind safety trial of high dose nicotinamide  riboside in Parkinson's disease.",Berven H; Kverneng S; Sheard E...,2023,Nature communications,10.1038/s41467-023-43514-6
31,37994989,NR,A randomized placebo-controlled trial of nicotinamide riboside in older adults  with mild cognitive impairment.,Orr ME; Kotkowski E; Ramirez P...,2024,GeroScience,10.1007/s11357-023-00999-9
33,37810917,NR,Effect of the Mediterranean diet supplemented with nicotinamide riboside and  pterostilbene and/or coconut oil on anthropometric variables in amyotrophic lateral sclerosis. A pilot study.,Carrera-Julia S; Estrela JM; Zacares M...,2023,Frontiers in nutrition,10.3389/fnut.2023.1232184
35,37271226,both,The acute effect of different NAD(+) precursors included in the combined  metabolic activators.,Li X; Yang H; Jin H...,2023,Free radical biology & medicine,10.1016/j.freeradbiomed.2023.05.032
36,37159264,NR,Randomized crossover clinical trial of coenzyme Q10 and nicotinamide riboside in  chronic kidney disease.,Ahmadi A; Begue G; Valencia AP...,2023,JCI insight,10.1172/jci.insight.167274
37,36936793,NR,Nicotinamide riboside supplementation is not associated with altered methylation  homeostasis in Parkinson's disease.,Gaare JJ; Dolle C; Brakedal B...,2023,iScience,10.1016/j.isci.2023.106278
38,36797393,NMN,"Nicotinamide adenine dinucleotide metabolism and arterial stiffness after  long-term nicotinamide mononucleotide supplementation: a randomized, double-blind, placebo-controlled trial.",Katayoshi T; Uehata S; Nakashima N...,2023,Scientific reports,10.1038/s41598-023-29787-3
41,36740954,NMN,Nicotinamide Adenine Dinucleotide Augmentation in Overweight or Obese Middle-Aged  and Older Adults: A Physiologic Study.,Pencina KM; Valderrabano R; Wipper B...,2023,The Journal of clinical endocrinology and metabolism,10.1210/clinem/dgad027
43,36515353,NR,Oral nicotinamide riboside raises NAD+ and lowers biomarkers of neurodegenerative  pathology in plasma extracellular vesicles enriched for neuronal origin.,Vreones M; Mustapic M; Moaddel R...,2023,Aging cell,10.1111/acel.13754
46,36082508,NR,"Nicotinamide riboside and pterostilbene reduces markers of hepatic inflammation  in NAFLD: A double-blind, placebo-controlled clinical trial.",Dellinger RW; Holmes HE; Hu-Seliger T...,2023,"Hepatology (Baltimore, Md.)",10.1002/hep.32778
48,35927255,NMN,Chronic nicotinamide mononucleotide supplementation elevates blood nicotinamide  adenine dinucleotide levels and alters muscle function in healthy older men.,Igarashi M; Nakagawa-Nagahama Y; Miura M...,2022,npj aging,10.1038/s41514-022-00084-z
53,35235774,NR,The NADPARK study: A randomized phase I trial of nicotinamide riboside  supplementation in Parkinson's disease.,Brakedal B; Dolle C; Riemer F...,2022,Cell metabolism,10.1016/j.cmet.2022.02.001
54,35182418,both,"MIB-626, an Oral Formulation of a Microcrystalline Unique Polymorph of  beta-Nicotinamide Mononucleotide, Increases Circulating Nicotinamide Adenine Dinucleotide and its Metabolome in Middle-Aged and Older Adults.",Pencina KM; Lavu S; Dos Santos M...,2023,"The journals of gerontology. Series A, Biological sciences and medical sciences",10.1093/gerona/glac049
55,35173682,both,NAD+-Increasing Strategies to Improve Cardiometabolic Health?,Blanco-Vaca F; Rotllan N; Canyelles M...,2021,Frontiers in endocrinology,10.3389/fendo.2021.815565
58,34326209,NMN,"Response to Comment on ""Nicotinamide mononucleotide increases muscle insulin  sensitivity in prediabetic women"".",Klein S; Yoshino M,2021,"Science (New York, N.Y.)",10.1126/science.abj7375
61,34180141,NR,Combined Metabolic Activators Accelerates Recovery in Mild-to-Moderate COVID-19.,Altay O; Arif M; Li X...,2021,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10.1002/advs.202101222
63,33524145,NR,Nicotinamide Riboside Enhances In Vitro Beta-adrenergic Brown Adipose Tissue  Activity in Humans.,Nascimento EBM; Moonen MPB; Remie CME...,2021,The Journal of clinical endocrinology and metabolism,10.1210/clinem/dgaa960
67,32758058,both,Modulation of Energy Sensing by Leucine Synergy with Natural Sirtuin Activators:  Effects on Health Span.,Zemel MB,2020,Journal of medicinal food,10.1089/jmf.2020.0105
68,32320006,NR,Nicotinamide riboside supplementation alters body composition and skeletal muscle  acetylcarnitine concentrations in healthy obese humans.,Remie CME; Roumans KHM; Moonen MPB...,2020,The American journal of clinical nutrition,10.1093/ajcn/nqaa072
69,31710095,NR,"Nicotinamide riboside does not alter mitochondrial respiration, content or  morphology in skeletal muscle from obese and insulin-resistant men.",Dollerup OL; Chubanava S; Agerholm M...,2020,The Journal of physiology,10.1113/JP278752
70,31685720,NMN,Effect of oral administration of nicotinamide mononucleotide on clinical  parameters and nicotinamide metabolite levels in healthy Japanese men.,Irie J; Inagaki E; Fujita M...,2020,Endocrine journal,10.1507/endocrj.EJ19-0313
71,31412242,NR,Nicotinamide Riboside Augments the Aged Human Skeletal Muscle NAD(+) Metabolome  and Induces Transcriptomic and Anti-inflammatory Signatures.,Elhassan YS; Kluckova K; Fletcher RS...,2019,Cell reports,10.1016/j.celrep.2019.07.043
72,31390002,NR,Effects of Nicotinamide Riboside on Endocrine Pancreatic Function and Incretin  Hormones in Nondiabetic Men With Obesity.,Dollerup OL; Trammell SAJ; Hartmann B...,2019,The Journal of clinical endocrinology and metabolism,10.1210/jc.2019-01081
73,31278280,NR,"Safety and Metabolism of Long-term Administration of NIAGEN (Nicotinamide  Riboside Chloride) in a Randomized, Double-Blind, Placebo-controlled Clinical Trial of Healthy Overweight Adults.",Conze D; Brenner C; Kruger CL,2019,Scientific reports,10.1038/s41598-019-46120-z
74,30725213,NR,Acute nicotinamide riboside supplementation improves redox homeostasis and  exercise performance in old individuals: a double-blind cross-over study.,Dolopikou CF; Kourtzidis IA; Margaritelis NV...,2020,European journal of nutrition,10.1007/s00394-019-01919-4
76,29992272,NR,"A randomized placebo-controlled clinical trial of nicotinamide riboside in obese  men: safety, insulin-sensitivity, and lipid-mobilizing effects.",Dollerup OL; Christensen B; Svart M...,2018,The American journal of clinical nutrition,10.1093/ajcn/nqy132
77,29599478,NR,Chronic nicotinamide riboside supplementation is well-tolerated and elevates  NAD(+) in healthy middle-aged and older adults.,Martens CR; Denman BA; Mazzo MR...,2018,Nature communications,10.1038/s41467-018-03421-7
78,29211728,both,"An open-label, non-randomized study of the pharmacokinetics of the nutritional  supplement nicotinamide riboside (NR) and its effects on blood NAD+ levels in healthy volunteers.",Airhart SE; Shireman LM; Risler LJ...,2017,PloS one,10.1371/journal.pone.0186459
79,25352640,unclear,Evidence for a direct effect of the NAD+ precursor acipimox on muscle  mitochondrial function in humans.,van de Weijer T; Phielix E; Bilet L...,2015,Diabetes,10.2337/db14-0667
80,15203886,unclear,Nicotinamide effects oxidative burst activity of neutrophils in patients with  poorly controlled type 2 diabetes mellitus.,Osar Z; Samanci T; Demirel GY...,2004,Experimental diabesity research,10.1080/15438600490424244
82,CN-02824486,both,Tracing the Metabolic Flux of Orally Administered NAD+ Precursors,"NCT06882096,",2025,https://clinicaltrials.gov/ct2/show/NCT06882096,
85,CN-02932080,NR,Individualized exercise and NAD+ precursor supplementation in Friedreich’s Ataxia: a randomized controlled trial,"Lin, KY; Bucha, A; McSweeney, K...",2025,SSRN,10.2139/ssrn.5698224
93,CN-02838583,NMN,The Impact of Nicotinamide Mononucleotide Sustained-release Tablets on Immunosenescence and Metablism in Middle-aged and Elderly Individuals with Metabolic Disorders,"NCT06907329,",2025,https://clinicaltrials.gov/ct2/show/NCT06907329,
102,CN-02230105,NR,Baseline characteristics of a clinical trial of nicotinamide riboside supplementation on brain function in older adults with mild cognitive impairment,"Koleti, M; Bair-Kelps, D; Romo, T...",2020,Journal of the American Geriatrics Society,10.1111/jgs.16431
110,CN-02214962,NR,"Nicotinamide riboside with pterostilbene increases NAD+ in patients with AKI: a randomized, double-blind, placebo-controlled, stepwise safety study of NRPT in patients with AKI","Simic, P; Parada, XF; Parikh, SM...",2020,Journal of the American Society of Nephrology: JASN,
114,CN-02948220,NR,Developing Topics,"Martens, CR; Decker, KP; DeConne, TM...",2025,Alzheimer's &amp; dementia,10.1002/alz70861_108851
115,CN-02297336,NR,Inflammation in COPD and the Effect of Nicotinamide Riboside,"NCT04990869,",2021,https://clinicaltrials.gov/ct2/show/NCT04990869,
120,CN-01004275,unclear,Nicotinamide for skin cancer chemoprevention,"Chen, AC; Martin, AJ; Halliday, GM...",2012,Asia-Pacific journal of clinical oncology,10.1111/ajco.12030
121,CN-02125004,NR,Effects of Nicotinamide Riboside on the Clinical Outcome of Covid-19 in the Elderly,"NCT04407390,",2020,https://clinicaltrials.gov/show/NCT04407390,
130,CN-02179127,unclear,Improvement in inner retinal function in glaucoma in response to nicotinamide (Vitamin B3) supplementation: a crossover randomized clinical trial,"Hui, F; Tang, J; Williams, P...",2020,Investigative ophthalmology &amp; visual science,
131,CN-02599768,NR,"Effect of Nicotinamide Riboside on Ketosis, Fat Oxidation &amp; Metabolic Rate","NCT06044935,",2023,https://clinicaltrials.gov/study/NCT06044935,
134,CN-02885480,unclear,Effect of Sevelamer versus Bifidobacterium longum on Insulin Sensitivity in Subjects with Obesity,"Baeuerle, E; Semwal, MK; Nie, J...",2025,medRxiv: the preprint server for health sciences,10.1101/2025.06.23.25327556
142,CN-02737221,NR,"Randomized, placebo-controlled, pilot clinical study evaluating acute Niagen®+ IV and NAD+ IV in healthy adults","Hawkins, J; Idoine, R; Kwon, J...",2024,medRxiv: the preprint server for health sciences,10.1101/2024.06.06.24308565
146,CN-01609303,NR,"A Study by ChromaDex to Assess the Effects of TRU NIAGEN on Cognitive Function, Mood and Sleep in Older Adults","NCT03562468,",2018,https://clinicaltrials.gov/show/NCT03562468,
155,CN-01966126,NR,Metabolic Cofactor Supplementation in Alzheimer's Disease (AD) and Parkinson's Disease (PD) Patients,"NCT04044131,",2019,https://clinicaltrials.gov/show/NCT04044131,
159,CN-02565422,NMN,Metabolic Changes Induced by NMN in Healthy Subjects With Acute Binge Drink,"NCT05882214,",2023,https://clinicaltrials.gov/ct2/show/NCT05882214,
173,CN-02939587,NR,"Randomized, Open-label, Safety Study of Subcutaneous and Intramuscular Injections of Niagen® Plus","NCT07251608,",2025,https://clinicaltrials.gov/study/NCT07251608,
185,CN-01901955,NMN,Assessment of the safety of long-term nicotinamide mononucleotide (NMN) in healthy subjects; phase II study. The clinical trial to evaluate metabolic-syndrome-related parameters to develop NMN as Foods with Function Claims,"UMIN000030609,",2017,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-UMIN000030609,
186,CN-02181681,NR,Metabolic Cofactor Supplementation and Hydroxychloroquine Combination in Covid-19 Patients,"NCT04573153,",2020,https://clinicaltrials.gov/ct2/show/NCT04573153,
188,CN-02760069,NR,NAD-HD: a RANDOMIZED CLINICAL TRIAL OF NICOTINAMIDE RIBOSIDE IN HUNTINGTON'S DISEASE,"Pihlstrom, L; Frich, J; Van Walsem, M",2024,"Journal of neurology, neurosurgery and psychiatry",10.1136/jnnp-2024-EHDN.333
189,CN-02507251,NR,Treatment With Nicotinamide Riboside Alters Systemic Mitochondrial Metabolism Without Impacting Exercise Capacity in Patients With CKD,"Ahmadi, A; Begue, G; Valencia, AP...",2022,Journal of the American Society of Nephrology: JASN,
