outcome,outcome_label,k_NMN,k_NR,MD,CI_lower,CI_upper,p_value,Within_study_bias_rating,Within_study_bias_justification,Reporting_bias_rating,Reporting_bias_justification,Indirectness_rating,Indirectness_justification,Imprecision_rating,Imprecision_justification,Heterogeneity_rating,Heterogeneity_justification,Incoherence_rating,Incoherence_justification,overall_certainty,n_downgrades
ALT,ALT,3,2,2.13,-3.90,8.16,0.4889,Some concerns,"5 Some concerns, 0 Low",Some concerns,k=5; industry funding prevalent; metabolic outcomes often secondary,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-3.90, 8.16] crosses null; width=12.1",Some concerns,NMN arm: I²=66% (k=3); NR arm: I²=0% (k=2),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,5
AST,AST,3,1,1.10,-2.29,4.49,0.5257,Some concerns,"4 Some concerns, 0 Low",Some concerns,k=4; insufficient studies for funnel plot; most industry-funded,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-2.29, 4.49] crosses null; width=6.8",No concerns,NMN arm: I²=18% (k=3); NR arm: I²=0% (k=1),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,4
BMI,BMI,3,1,0.86,-1.95,3.66,0.5490,Some concerns,"4 Some concerns, 0 Low",Some concerns,k=4; insufficient studies for funnel plot; most industry-funded,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-1.95, 3.66] crosses null; width=5.6",No concerns,NMN arm: I²=0% (k=3); NR arm: I²=0% (k=1),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,4
DBP,Diastolic BP,4,1,-3.35,-9.44,2.75,0.2819,Some concerns,"5 Some concerns, 0 Low",Some concerns,k=5; industry funding prevalent; metabolic outcomes often secondary,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-9.44, 2.75] crosses null; width=12.2",No concerns,NMN arm: I²=0% (k=4); NR arm: I²=0% (k=1),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,4
FBG,Fasting Blood Glucose,4,2,2.61,-3.26,8.47,0.3834,Some concerns,"6 Some concerns, 0 Low",Some concerns,k=6; industry funding prevalent; metabolic outcomes often secondary,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-3.26, 8.47] crosses null; width=11.7",Low concern,NMN arm: I²=47% (k=4); NR arm: I²=0% (k=2),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,4
HDL,HDL Cholesterol,3,3,2.04,-5.73,9.81,0.6063,Some concerns,"6 Some concerns, 0 Low",Some concerns,k=6; industry funding prevalent; metabolic outcomes often secondary,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-5.73, 9.81] crosses null; width=15.5",No concerns,NMN arm: I²=0% (k=3); NR arm: I²=0% (k=3),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,4
HOMA-IR,HOMA-IR,1,1,-0.41,-1.48,0.66,0.4549,Some concerns,"2 Some concerns, 0 Low",Some concerns,k=2; too few studies to assess funnel asymmetry; most industry-funded,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-1.48, 0.66] crosses null; width=2.1",Some concerns,NMN arm: I²=0% (k=1); NR arm: I²=0% (k=1); single study per arm - heterogeneity not estimable,Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,5
HbA1c,HbA1c,2,1,0.19,-0.11,0.50,0.2179,Some concerns,"3 Some concerns, 0 Low",Some concerns,k=3; insufficient studies for funnel plot; most industry-funded,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-0.11, 0.50] crosses null; width=0.6",No concerns,NMN arm: I²=0% (k=2); NR arm: I²=0% (k=1),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,4
LDL,LDL Cholesterol,3,3,3.54,-10.46,17.55,0.6201,Some concerns,"6 Some concerns, 0 Low",Some concerns,k=6; industry funding prevalent; metabolic outcomes often secondary,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Major concerns,"Very wide CI [-10.46, 17.55]; width=28.0; crosses null",No concerns,NMN arm: I²=0% (k=3); NR arm: I²=0% (k=3),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,5
SBP,Systolic BP,4,1,-5.50,-14.46,3.47,0.2292,Some concerns,"5 Some concerns, 0 Low",Some concerns,k=5; industry funding prevalent; metabolic outcomes often secondary,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-14.46, 3.47] crosses null; width=17.9",No concerns,NMN arm: I²=0% (k=4); NR arm: I²=0% (k=1),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,4
TC,Total Cholesterol,2,3,3.76,-13.80,21.32,0.6744,Some concerns,"5 Some concerns, 0 Low",Some concerns,k=5; industry funding prevalent; metabolic outcomes often secondary,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Major concerns,"Very wide CI [-13.80, 21.32]; width=35.1; crosses null",No concerns,NMN arm: I²=0% (k=2); NR arm: I²=0% (k=3),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,5
TG,Triglycerides,4,3,-21.94,-56.94,13.05,0.2191,Some concerns,"7 Some concerns, 0 Low",Some concerns,k=7; industry funding prevalent; metabolic outcomes often secondary,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Major concerns,"Very wide CI [-56.94, 13.05]; width=70.0; crosses null",No concerns,NMN arm: I²=0% (k=4); NR arm: I²=20% (k=3),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,5
body_weight,Body Weight,3,1,0.91,-4.38,6.20,0.7359,Some concerns,"4 Some concerns, 0 Low",Some concerns,k=4; insufficient studies for funnel plot; most industry-funded,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-4.38, 6.20] crosses null; width=10.6",No concerns,NMN arm: I²=0% (k=3); NR arm: I²=0% (k=1),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,4
fasting_insulin,Fasting Insulin,2,1,-2.87,-8.34,2.59,0.3025,Some concerns,"3 Some concerns, 0 Low",Some concerns,k=3; insufficient studies for funnel plot; most industry-funded,Some concerns,"Populations differ: NMN trials mostly Asian (3/4), NR trials mostly Western (3/4); BMI ranges differ; doses 250mg NMN vs 500-2000mg NR; indirect comparison assumes transitivity",Some concerns,"CI [-8.34, 2.59] crosses null; width=10.9",No concerns,NMN arm: I²=0% (k=2); NR arm: I²=0% (k=1),Not applicable,No direct NMN vs NR comparisons; incoherence cannot be evaluated,Very low,4
